gene_ids
AGRN
DVL1
MIB2
SKI
PEX10
TNFRSF14
WRAP73
ICMT
ACOT7
DNAJC11
ERRFI1
ENO1
FBXO2
FBXO6
MIIP
UBR4
NBL1
CDA
ECE1
USP48
C1QA
C1QB
ID3
GALE
RCAN3
MTFR1L
CD52
SFN
IFI6
LAPTM5
SNRNP40
TINAGL1
PTP4A2
SYNC
PHC2
KIAA0319L
CLSPN
MAP7D1
ZC3H12A
MYCBP
MACF1
PABPC4
RLF
SLC2A1
CDC20
HYI
UROD
PRDX1
MKNK1
PDZK1IP1
ZCCHC11
YIPF1
TACSTD2
JUN
GADD45A
LRRC40
TYW3
PIGK
IFI44L
C1orf52
CYR61
GBP3
GBP1
GBP2
GBP4
GBP5
TMED5
DR1
ABCD3
F3
SLC30A7
SLC25A24
STXBP3
TMEM167B
WDR77
SIKE1
PIAS3
TXNIP
HIST2H2BE
BOLA1
OTUD7B
PLEKHO1
RPRD2
CTSS
C1orf56
CDC42SE1
IVL
SPRR2D
S100A8
S100A7
S100A4
S100A2
S100A16
INTS3
CKS1B
MUC1
RIT1
GLMP
CRABP2
PRCC
PEA15
FCER1G
HSPA6
NUF2
TMCO1
UCK2
RABGAP1L
SOAT1
TOR1AIP2
QSOX1
XPR1
STX6
IER5
LAMC2
SMG7
PTGS2
RGS1
UCHL5
DENND1B
NEK7
UBE2T
ADIPOR1
CYB5R1
TMEM183A
BTG2
MDM4
RBBP5
ELK4
CD55
LAMB3
LINC00467
CENPF
BPNT1
CAPN8
TRIM11
GALNT2
C1orf198
EGLN1
KCNK1
OPN3
SDCCAG8
TMEM18
ID2
HPCAL1
SMC6
KCNS3
SDC1
RHOB
TP53I3
SNX17
NRBP1
KRTCAP3
SLC4A1AP
FOSL2
PPP1CB
TRMT61B
SOS1
THUMPD2
MTA3
ZFP36L2
EPAS1
FBXO11
PSME4
SPTBN1
VRK2
PEX13
EHBP1
PELI1
NFU1
MXD1
TGFA
SPR
DUSP11
RTKN
VAMP5
C2orf68
SFTPB
GNLY
TMEM127
ARID5A
MITD1
RNF149
MIR4435-2HG
SLC20A1
INSIG2
STEAP3
RALB
CXCR4
HNMT
SPOPL
RND3
ITGB6
TLK1
FKBP7
SSFA2
TFPI
SLC40A1
ASNSD1
GLS
STK17B
GTF3C3
ORC2
CYP20A1
RAPH1
RPE
BARD1
FN1
CTDSP1
TTLL4
ZFAND2B
STK16
WDFY1
IRS1
CCL20
SP140L
CAB39
PDE6D
COPS7B
MLPH
ILKAP
DTYMK
LMCD1
THUMPD3-AS1
THUMPD3
SETD5
RPUSD3
CCDC174
ANKRD28
TOP2B
AZI2
TGFBR2
CMTM6
GLB1
CRTAP
CTNNB1
KIAA1143
LTF
KIF9
RBM6
SEMA3B
RASSF1
SMIM4
PBRM1
GLT8D1
DCP1A
ARF4
SLMAP
SUCLG2
UBA3
FOXP1
GBE1
DCBLD2
NFKBIZ
GTPBP8
LRRC58
IQCB1
CCDC58
DTX3L
PARP14
CCDC14
CHCHD6
MGLL
RPN1
COPG1
CDV3
NCK1
MRAS
CEP70
FAIM
RBP1
XRN1
PLS1
PLOD2
TM4SF1
WWTR1
MBNL1
RARRES1
PRKCI
SKIL
MFN1
DCUN1D1
EIF2B5
DVL3
ECE2
RFC4
RPL39L
RTP4
HES1
TFRC
PCYT1A
UBXN7
IQCG
CTBP1
MAEA
NELFA
LRPAP1
TMEM128
LYAR
S100P
LAP3
MED28
SLC34A2
FAM114A1
UGDH
LIMCH1
TMEM33
CHIC2
KIT
SRD5A3
NMU
EXOC1
HOPX
JCHAIN
DCK
ANKRD17
MTHFD2L
AREG
CXCL10
SEPT11
CXCL13
ANXA3
ENOPH1
PLAC8
SPP1
HERC6
PDLIM5
LAMTOR3
DNAJB14
PPP3CA
BDH2
MAD2L1
LARP1B
SETD7
ANAPC10
PPID
TMA16
DDX60
CBR4
HMGB2
SPCS3
CENPU
ANKRD37
CCDC127
SLC12A7
C5orf38
RAI14
NUP155
WDR70
C5orf51
HMGCS1
ITGA2
MOCS2
SETD9
NDUFAF2
CCNB1
CENPH
MAP1B
MRPS27
XRCC4
VCAN
CETN3
SLF1
GLRX
PJA2
PGGT1B
TMED7
TNFAIP8
SRFBP1
PPIC
PHAX
SLC12A2
ISOC1
CDC42SE2
PDLIM4
C5orf56
IRF1
ZCCHC10
TGFBI
EGR1
HARS
DIAPH1
YIPF5
SPINK1
SPINK5
CD74
PTTG1
DUSP1
ERGIC1
RPL26L1
PRR7
HNRNPH1
DUSP22
NQO2
BPHL
RREB1
SLC35B3
EDN1
ATXN1
NUP153
CDKAL1
MRS2
TDP2
C6orf62
TRIM38
HIST1H1C
HIST1H2AC
HIST1H2BG
HIST1H2AE
BTN3A2
ZSCAN16-AS1
HLA-F
HLA-A
TUBB
IER3
SFTA2
HLA-B
HSPA1A
HSPA1B
C2
HLA-DRB1
HLA-DQB1
TAP2
HLA-DMB
HLA-DMA
BRD2
PHF1
PIM1
TREM1
CCND3
C6orf132
C6orf226
PTK7
XPO5
VEGFA
TMEM63B
SUPT3H
DST
ORC3
PNISR
ASCC3
C6orf203
TUBE1
MARCKS
TSPYL1
GOPC
GJA1
SMPDL3A
NCOA7
CENPW
PTPRK
SLC18B1
SGK1
MYB
IFNGR1
PHACTR2
SHPRH
KATNA1
ARMT1
CNKSR3
ARID1B
TMEM181
SOD2
WTAP
QKI
RNASET2
COX19
ZFAND2A
INTS1
EIF3B
AIMP2
C1GALT1
ARL4A
AGR2
AGR3
TRA2A
NT5C3A
STARD3NL
MRPL32
YKT6
PURB
IGFBP3
UPP1
MRPS17
SUMF2
TMEM248
SBDS
BCL7B
POR
TMEM120A
SEMA3C
TP53TG1
STEAP1
SAMD9
SAMD9L
BET1
BAIAP2L1
TAF6
MOSPD3
TRIP6
FIS1
DNAJB9
CAV2
TSPAN12
ZNF800
HILPDA
CALU
MKLN1
BPGM
CALD1
C7orf49
PTN
ZC3HAV1
CASP2
EZH2
PDIA4
ESYT2
WDR60
ARSD
HCCS
PRPS2
RAB9A
SAT1
DYNLT3
TIMP1
WDR13
WDR45
PLP2
TSR2
MSN
IGBP1
XIST
MAGT1
SH3BGRL
TIMM8A
ARMCX3
TCEAL4
TSC22D3
PLS3
IL13RA1
XIAP
FMR1
HMGB3
IRAK1
FLNA
UBL4A
FAM3A
G6PD
AGPAT5
DEFB1
CLDN23
CTSB
SLC25A37
DPYSL2
CCDC25
GTF2E2
PPP2CB
ERLIN2
LSM1
TM2D2
ADAM9
IDO1
THAP1
PCMTD1
CHCHD7
SDR16C5
SDCBP
ASPH
GGH
MTFR1
RRS1
RDH10
STAU2
UBE2W
FABP5
CHMP4C
RIPK2
MTERF3
STK3
CTHRC1
EMC2
EBAG9
TRPS1
UTP23
FAM83A
C8orf76
FBXO32
FAM91A1
SQLE
FAM84B
EFR3A
NDRG1
EPPK1
PLEC
SMARCA2
VLDLR
TTC39B
APTX
B4GALT1
AQP3
DCAF12
NUDT2
RPP25L
CA9
CREB3
POLR1E
NMRK1
RFK
ZCCHC6
CTSL
CKS2
GADD45G
MFSD14B
FBP1
C9orf3
SLC44A1
TMEM245
PTGR1
UGCG
SLC31A1
PSMD5
GSN
STOM
MAPKAP1
FAM129B
PTRH1
DPM2
LCN2
SPTAN1
ZDHHC12
NTMT1
TOR1A
FNBP1
ASS1
SURF2
PAEP
TMEM141
RABL6
TRAF2
FBXW5
CLIC3
TMEM203
IFITM2
IFITM1
PNPLA2
TOLLIP
CD81
TSSC4
PHLDA2
PGAP2
WEE1
ADM
SAA1
LDHA
IMMP1L
HIPK3
TTC17
HSD17B12
CD82
CKAP5
PTPMT1
FAM111B
FAM111A
B3GAT3
TTC9C
TMEM223
ATL3
MARK2
MACROD1
TRPT1
NUDT22
ZFPL1
DPF2
SIPA1
RNASEH2C
SART1
CST6
RCE1
RHOD
RPS6KB2
CDK2AP2
CCND1
STARD10
POLD3
RAB30-AS1
PCF11
CCDC90B
CREBZF
PRSS23
SMCO4
CCDC82
BIRC3
DCUN1D5
CASP4
CARD16
AASDHPPT
ACAT1
FDX1
C11orf1
REXO2
MPZL2
CD3D
TRAPPC4
HYOU1
H2AFX
DCPS
APLP2
ST14
ZBTB44
LARP4B
KLF6
CALML5
USP6NL
CAMK1D
SUV39H2
VIM
NSUN6
NRP1
SGMS1
CDK1
DNAJC12
HERC4
SRGN
TSPAN15
P4HA1
ECD
PLAU
SNCG
